county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,1,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,32,15,17
Fisher,1,"Justice, Supreme Court Pl 9",,REP,Joe Pool,72,22,50
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,32,11,21
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,33,10,23
Fisher,1,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,33,14,19
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,59,21,38
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,10,6,4
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,16,2,14
Fisher,1,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,13,5,8
Fisher,1,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,59,23,36
Fisher,1,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,39,13,26
Fisher,1,State Senator,28,REP,Charles Perry,105,38,67
Fisher,1,State Representative,68,REP,Drew Springer,96,31,65
Fisher,1,11th Court of Appeals Dist Pl 3,,REP,John Bailey,92,30,62
Fisher,1,Prop 1,,REP,Yes,79,34,45
Fisher,1,Prop 1,,REP,No,39,12,27
Fisher,1,Prop 2,,REP,Yes,59,27,32
Fisher,1,Prop 2,,REP,No,59,19,40
Fisher,1,Prop 3,,REP,Yes,93,37,56
Fisher,1,Prop 3,,REP,No,26,8,18
Fisher,1,Prop 4,,REP,Yes,115,44,71
Fisher,1,Prop 4,,REP,No,3,0,3
Fisher,4,President,,REP,Mike Huckabee,2,2,0
Fisher,4,President,,REP,Jeb Bush,1,1,0
Fisher,4,President,,REP,Marco Rubio,17,6,11
Fisher,4,President,,REP,Ted Cruz,96,31,65
Fisher,4,President,,REP,Chris Christie,0,0,0
Fisher,4,President,,REP,Rick Santorum,0,0,0
Fisher,4,President,,REP,Carly Fiorina,0,0,0
Fisher,4,President,,REP,Rand Paul,0,0,0
Fisher,4,President,,REP,Ben Carson,10,6,4
Fisher,4,President,,REP,Lindsey Graham,0,0,0
Fisher,4,President,,REP,John R Kasich,5,1,4
Fisher,4,President,,REP,Donald J Trump,34,11,23
Fisher,4,President,,REP,Elizabeth Gray,0,0,0
Fisher,4,President,,REP,Uncommitted,0,0,0
Fisher,4,U.S. House,19,REP,Donald R May,19,7,12
Fisher,4,U.S. House,19,REP,Greg Garrett,15,5,10
Fisher,4,U.S. House,19,REP,Jodey Arrington,41,16,25
Fisher,4,U.S. House,19,REP,Michael Bob Starr,19,5,14
Fisher,4,U.S. House,19,REP,DeRenda Warren,3,0,3
Fisher,4,U.S. House,19,REP,John C Key,1,1,0
Fisher,4,U.S. House,19,REP,Glen Robertson,35,14,21
Fisher,4,U.S. House,19,REP,Jason Corley,8,2,6
Fisher,4,U.S. House,19,REP,Don Parrish,5,2,3
Fisher,4,Railroad Commissioner,,REP,Weston Martinez,9,0,9
Fisher,4,Railroad Commissioner,,REP,Doug Jeffrey,23,12,11
Fisher,4,Railroad Commissioner,,REP,Gary Gates,19,4,15
