county,precinct,office,district,party,candidate,votes,early_voting,election_day
Medina,1B,"Judge, Court of Criminal Appeals Place 5",,REP,Steve Smith,85,55,30
Medina,1B,"Judge, Court of Criminal Appeals Place 5",,REP,Sid Harle,161,111,50
Medina,1B,"Judge, Court of Criminal Appeals Place 5",,DEM,Betsy Johnson,32,21,11
Medina,1B,"Judge, Court of Criminal Appeals Place 6",,REP,Richard Davis,242,143,99
Medina,1B,"Judge, Court of Criminal Appeals Place 6",,REP,Michael E. Keasler,208,136,72
Medina,1B,"Judge, Court of Criminal Appeals Place 6",,DEM,Robert Burns,32,21,11
Medina,1B,"Member, State Board of Education Dis. 1",,DEM,Georgina Perez,16,12,4
Medina,1B,"Member, State Board of Education Dis. 1",,DEM,Lynn Oliver,17,10,7
Medina,1B,"Member, State Board of Education Dis. 1",,DEM,"Joe Fierro, Jr.",5,4,1
Medina,1B,State Senator,19,REP,Peter P. Flores,433,267,166
Medina,1B,State Senator,19,DEM,Helen Madia,16,9,7
Medina,1B,State Senator,19,DEM,Carlos I. Uresti ,26,18,8
Medina,1B,State Representative,53,REP,Andrew Murr,469,294,175
Medina,1B,State Representative,53,DEM,Stephanie Lochte Ertel,30,19,11
Medina,1B,Justice 4th Court of Appeals District Place 6,,REP,Jason Pulliam,436,271,165
Medina,1B,Justice 4th Court of Appeals District Place 6,,DEM,Irene Rios,34,22,12
Medina,1B,PROPOSITION 1,,REP,FOR,429,263,166
Medina,1B,PROPOSITION 1,,REP,AGAINST,146,86,60
Medina,1B,PROPOSITION 2,,REP,FOR,395,241,154
Medina,1B,PROPOSITION 2,,REP,AGAINST,183,107,76
Medina,1B,PROPOSITION 3,,REP,FOR,499,301,198
Medina,1B,PROPOSITION 3,,REP,AGAINST,71,45,26
Medina,1B,PROPOSITION 4,,REP,FOR,567,344,223
Medina,1B,PROPOSITION 4,,REP,AGAINST,12,8,4
Medina,1B,REFERENDA ITEM 1,,DEM,FOR,42,25,17
Medina,1B,REFERENDA ITEM 1,,DEM,AGAINST,3,2,1
Medina,1B,REFERENDA ITEM 2,,DEM,FOR,44,26,18
Medina,1B,REFERENDA ITEM 2,,DEM,AGAINST,1,1,0
Medina,1B,REFERENDA ITEM 3,,DEM,FOR,42,24,18
Medina,1B,REFERENDA ITEM 3,,DEM,AGAINST,3,3,0
Medina,1B,REFERENDA ITEM 4,,DEM,FOR,40,24,16
Medina,1B,REFERENDA ITEM 4,,DEM,AGAINST,4,2,2
Medina,1B,REFERENDA ITEM 5,,DEM,FOR,34,21,13
Medina,1B,REFERENDA ITEM 5,,DEM,AGAINST,11,6,5
Medina,1B,REFERENDA ITEM 6,,DEM,FOR,41,24,17
Medina,1B,REFERENDA ITEM 6,,DEM,AGAINST,4,3,1
Medina,1C,Registered Voters - Total,,,,2454,,
Medina,1C,President,,REP,Carly Fiorina,1,0,1
Medina,1C,President,,REP,Rick Santorum,0,0,0
Medina,1C,President,,REP,Marco Rubio,77,21,56
Medina,1C,President,,REP,Rand Paul,0,0,0
Medina,1C,President,,REP,Mike Huckabee,0,0,0
Medina,1C,President,,REP,Elizabeth Gray,0,0,0
Medina,1C,President,,REP,Chris Christie,1,0,1
Medina,1C,President,,REP,Jeb Bush,4,3,1
Medina,1C,President,,REP,Ted Cruz,340,119,221
Medina,1C,President,,REP,Lindsey Graham,1,0,1
Medina,1C,President,,REP,Ben Carson,35,8,27
Medina,1C,President,,REP,Donald J. Trump,212,68,144
Medina,1C,President,,REP,John R. Kasich,18,6,12
Medina,1C,President,,REP,Uncommitted,5,3,2
Medina,1C,President,,DEM,Willie L. Wilson,1,0,1
Medina,1C,President,,DEM,Star Locke,1,0,1
Medina,1C,President,,DEM,Hillary Clinton,118,35,83
Medina,1C,President,,DEM,Keith Judd,1,0,1
Medina,1C,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Medina,1C,President,,DEM,Martin J. O'Malley,2,2,0
Medina,1C,President,,DEM,Calvis L. Hawes,1,0,1
Medina,1C,President,,DEM,Bernie Sanders,54,14,40
Medina,1C,U.S. House,23,REP,"William ""Hart"" Peterson",133,41,92
Medina,1C,U.S. House,23,REP,Will Hurd,501,179,322
Medina,1C,U.S. House,23,DEM,Lee Keenen,26,10,16
Medina,1C,U.S. House,23,DEM,Pete P. Gallego,141,39,102
Medina,1C,Railroad Commissioner,,REP,Gary Gates,173,65,108
Medina,1C,Railroad Commissioner,,REP,John Greytok,18,6,12
Medina,1C,Railroad Commissioner,,REP,Weston Martinez,52,21,31
Medina,1C,Railroad Commissioner,,REP,Ron Hale,69,21,48
Medina,1C,Railroad Commissioner,,REP,Lance N. Christian,50,17,33
Medina,1C,Railroad Commissioner,,REP,Doug Jeffrey,38,14,24
Medina,1C,Railroad Commissioner,,REP,Wayne Christian,154,52,102
Medina,1C,Railroad Commissioner,,DEM,Lon Burnam,30,8,22
Medina,1C,Railroad Commissioner,,DEM,Grady Yarbrough,66,17,49
Medina,1C,Railroad Commissioner,,DEM,Cody Garrett,58,16,42
Medina,1C,"Justice, Supreme Court Place 3",,REP,Debra Lehmann,325,104,221
Medina,1C,"Justice, Supreme Court Place 3",,REP,Micahel Massengale,241,93,148
Medina,1C,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,147,40,107
Medina,1C,"Justice, Supreme Court Place 5",,REP,Rick Green,302,88,214
Medina,1C,"Justice, Supreme Court Place 5",,REP,Paul Green,257,108,149
Medina,1C,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,154,44,110
Medina,1C,"Justice, Supreme Court Place 9",,REP,Joe Pool,284,102,182
